time,open,high,low,close,Volume,Volume MA
1574373600,0.67866,0.68032,0.67805,0.6781,108048,140604.15
1574632800,0.67899,0.67993,0.67681,0.67783,88501,138907.95
1574719200,0.67783,0.67953,0.67679,0.67877,115009,137634.6
1574805600,0.67877,0.67913,0.6772,0.67758,92437,133229.4
1574892000,0.67758,0.67781,0.67591,0.67696,78100,127427.55
1574978400,0.67696,0.67796,0.67543,0.6759999999999999,84932,123362.9
1575237600,0.6768,0.6826,0.67616,0.6818299999999999,102684,122365.9
1575324000,0.6818299999999999,0.68621,0.6815,0.68468,117126,118134.6
1575410400,0.68468,0.68552,0.68131,0.68465,133970,118139.95
1575496800,0.68465,0.68549,0.68209,0.6833,104507,114679.25
1575583200,0.6833,0.68573,0.68236,0.68396,124912,113671.6
1575842400,0.6830499999999999,0.68385,0.68203,0.68234,82361,112879.7
1575928800,0.68234,0.68374,0.68002,0.6809,106358,111469.1
1576015200,0.6809,0.68895,0.68045,0.68759,123280,110369.55
1576101600,0.68759,0.6913199999999999,0.68675,0.6909,296350,117599.55
1576188000,0.6909,0.6938799999999999,0.68638,0.68735,220249,122863.85
1576447200,0.6883,0.6898,0.68684,0.68848,115977,123278.85
1576533600,0.68848,0.68851,0.68384,0.68513,111759,123352.35
1576620000,0.68513,0.6864399999999999,0.68386,0.68531,93186,122149.25
1576706400,0.68531,0.6888299999999999,0.6848299999999999,0.68857,109900,120482.3
1576792800,0.68857,0.6906599999999999,0.68829,0.68998,87560,119457.9
1577052000,0.6890999999999999,0.69287,0.6890999999999999,0.69217,96524,119859.05
1577138400,0.69217,0.69304,0.69125,0.6920999999999999,91008,118659
1577311200,0.6920999999999999,0.69497,0.6920999999999999,0.69453,17002,114887.25
1577397600,0.69453,0.69868,0.6940999999999999,0.69786,115830,116773.75
1577656800,0.69804,0.70044,0.69781,0.69939,126638,118859.05
1577743200,0.69939,0.70319,0.69929,0.70162,98924,118671.05
1577916000,0.70162,0.70162,0.69785,0.69916,67009,116165.2
1578002400,0.69916,0.69919,0.69303,0.69535,147140,116823.7
1578261600,0.6940999999999999,0.6957599999999999,0.69254,0.69395,145360,118866.35
1578348000,0.69395,0.69424,0.68591,0.6869,151348,120188.15
1578434400,0.6869,0.68855,0.6849,0.68652,239632,128051.7
1578520800,0.68652,0.68806,0.68503,0.68584,115208,128494.2
1578607200,0.68584,0.6910999999999999,0.68509,0.69038,126552,128657.8
1578866400,0.6897,0.69199,0.68931,0.6903,116247,119652.65
1578952800,0.6903,0.69098,0.68852,0.69014,135632,115421.8
1579039200,0.69014,0.69167,0.68772,0.69011,119205,115583.2
1579125600,0.69011,0.69337,0.68879,0.68981,118645,115927.5
1579212000,0.68981,0.69111,0.6872,0.6876099999999999,111486,116842.5
1579471200,0.68731,0.68885,0.68552,0.68724,88341,115764.55
1579557600,0.68724,0.68806,0.6842699999999999,0.68446,138699,118321.5
1579644000,0.68446,0.68562,0.6827,0.6843899999999999,133392,120164.9
1579730400,0.6843899999999999,0.68789,0.68293,0.68464,167046,123966.8
1579816800,0.68464,0.68573,0.68176,0.68232,129932,129613.3
1580076000,0.6812,0.68185,0.6752,0.67609,189070,133275.3
1580162400,0.67609,0.67651,0.6737,0.67621,142670,134076.9
1580248800,0.67621,0.6777299999999999,0.67353,0.67537,134399,135850.65
1580335200,0.67537,0.67552,0.67,0.67214,171862,141093.3
1580421600,0.67214,0.67299,0.6682899999999999,0.66933,164792,141975.9
1580680800,0.66835,0.67072,0.66835,0.66917,180456,143730.7
